HS CODE	DESCRIPTION  / KEYWORD
30741	Cuttle fish
30741	Squid
30890	Abalone
30890	Anchovy
30890	Bonito
30890	Catfish
30890	Cattle fish
30890	Clam
30890	Crab
30890	Dried fish
30890	Dried fish
30890	Fish fillets
30890	Fish fillets
30890	Fish flour
30890	Fish head
30890	Mackarel
30890	Prawn
30890	Salted fish
30890	Scallop
30890	Sea urchin
30890	Smoked fish
30890	Sole
30890	Tilapia
30890	Toothfish
40110	Butter
40310	Curdled milk
40310	Fermented milk
40410	Brie
40410	Camembert
40410	Curd
40410	Edam
40410	Havarti
40410	Mozzarella
40410	Muenster
40410	Powdered whey
40410	Romano
40410	Whey protein
40711	Eggs
40900	Light honey
50100	Whalebone
50400	Guts
51000	Glands
60110	Dormant
60110	Lilacs
60110	Mushroom spawn
60110	Rhizomes
60312	Carnations
60312	Orchids
60390	Flower
60420	Foliage
60420	Moss
70310	Aubergine
70310	Bean
70310	Capsicum
70310	Kohlrabi
70310	Leaf chervil
70310	Leek
70310	Legume
70310	Onion
70310	Parsley
70310	Potato
70310	Pumpkin
70310	Shallots
70310	Squash
70310	Truffle
70490	Chinese lettuce
70690	Salsify
70700	Cucumbers
70700	Gherkins
71029	Lupini
71029	Pigeon pea
71029	Toor
71080	Cactus leaves
71080	Leaf chevrils
71080	Malanga
71080	Tamarillos
71080	Verdolagas
71080	Yen Sai
71290	Tarragon
80119	Apple
80119	Apricot
80119	Bilberries
80119	Brazil nut
80119	Clementine
80119	Currants
80119	Durians
80119	fig
80119	Loganberries
80119	Macadamia
80119	Mulberries
80119	Papaws
80119	Pistachio
80119	Plum
80119	Strawberry
80119	Walnut
80119	Watermelon
80119	Wilking
90111	Coffee
90111	Decaffeinated coffee
90111	Mat 
90411	Anise
90411	Bay leaves
90411	Cardamom
90411	Chili peppers
90411	Coriander
90411	Ginger
90411	Saffron
90412	Curry
90412	Nutmeg
90412	Pepper
90412	Thyme
100290	Canary seed
100290	Durum wheat
100290	Grain sorghum
100290	Quinoa
110419	Oats
120190	Colza seed
120190	Cotton seed
120190	Ginseng roots
120190	Kernels
120190	Mustard seeds
120190	Palm nuts
120190	Poppy seed
120190	Poppy straw
120190	Rape seed
120190	Safflower seed
120190	Sesame seeds
130190	Balsams
10290	Bovine
10290	Buffalo
10290	Cat
10290	Cattle
10290	Cockatoos
10290	Dugong
10290	Horse
10290	Macaw
10290	Macaws
10290	Parrot
10290	Parrots
10599	Duck
20120	Fresh beef
21011	Ham
21099	Back ribs
21099	Bovine
21099	Dugong
21099	Eye of round
21099	Goat
21099	Hip
21099	Inside round
21099	Liver
21099	Ribs
21099	Tongue
30890	Blue whiting
30890	Coalfish
30890	Dogfish
30890	Fish flour
30890	Fish maw
30890	Fish meal
30890	Haddock
30890	Hake
30890	Halibut
30890	Herring
30890	Lobster
30890	Mussel
30890	Plaice
30890	Salmon
30890	Sea cucumber
30890	Shark
30890	Snail
30890	Swordfish
30890	Turbot
40110	Dairy spread
40110	Fresh cream
40110	Fresh cream
40110	Milk
40310	Curdled cream
40310	Fermented milk
40310	Yogourt
40310	Yogurt
40390	Buttermilk
40390	Kephir
40410	Blue cheese
40410	Gruyere
40410	Processed cheese
40410	Swiss cheese
40410	Whey
50100	Beak
50100	Bovine semen
50400	Casing
50400	Stomachs
50590	Skin
51000	Bile
60110	Ferns
60110	Fruit tree
60110	Grapevine
60110	Nut tree
60110	Root
60110	Shrub
60110	Tuberous root
60110	Tuberous root
60290	Ash
60290	Poplar
60313	Cymbidium
60319	Flower
60390	Lilies
60420	Grass
70310	Carrot
70310	Cauliflower
70310	Corn
70310	Green onions
70310	Green onions
70310	Jicama
70310	Lentil
70310	Manioc
70310	Radish
70310	Rapini
70310	Spinach
70310	Witloof chicory
70310	Witloof chicory
71029	Angola
71029	Pigeon pea
71080	Leaf chevrils
71080	Mexican parsley
71080	Tree tomatoes
80119	Cashew
80119	Cherries
80119	Cherry
80119	Chestnut
80119	Citrus
80119	Gooseberries
80119	Guava
80119	Lemon
80119	Mandarin
80119	Mango
80119	Peach
80119	Pecan
80119	Persimmons
80119	Plantain
80119	Prune
80119	Quinces
90111	Coffee bean
90111	Coffee bean
90111	Coffee substitutes
90111	Roasted coffee
90111	Roasted coffee
90111	Tea
90411	Bay leaves
90411	Cinnamon
90411	Cinnamon tree flower
90411	Cinnamon tree flower
90411	Cumin
90411	Dill
90411	Juniper berries
90411	Paprika
90411	Spice
90411	Turmeric
90412	Badian
90412	Caraway
90412	Cardamom
90412	Chili peppers
90412	Curcuma
90412	Fennel
90412	Saffron
100290	Barley
100290	Grain sorghum
100290	Oat
100290	Rice
100290	Rye
100290	Starch
100290	Wheat
110419	Wheat
110510	Potato
120190	Castor oil seeds
120190	Coca leaf
120190	Copra
120190	Cotton seed
120190	Ginseng roots
120190	Poppy straw
120190	Sesame seeds
130190	Guar gum
130190	Lac
130190	Natural gum
130190	Pectic substances
140190	Bamboos
140190	Cereal straw
140190	Cotton linters
140190	Couch grass
140190	Couch grass
140190	Eel grass
140190	Istle
140190	Kapok
140190	Piassava
140190	Tampico fibre
140190	Vegetable hair
150190	Glycerol
150190	Olive oil
130190	Carrageenan
130190	Gum Arabic
130190	Gum Arabic
130190	Gum resins
130190	Mucilages
130190	Natural gum
130190	Oleoresins
130190	Vegetable extracts
140190	Broom corn
140190	Cotton linters
140190	Rattans
140190	Reeds
150190	Animal oil
150190	Animal oil
150190	Fish liver oils
150190	Food oil
150190	Poultry fat
150190	Spermaceti
150190	Vegetable wax
150300	Lard oil
150300	Lard stearin
150300	Oleo oil
150300	Tallow oil
150890	Cotton seed oil
150890	Nut oil
150890	Sunflower seed oil
150890	Sunflower seed oil
151550	Sesame oil
151610	Animal fat
151610	Canola oil
151610	Shortening
160100	Luncheon meat
160100	Prepared meat
160100	Sausage
160220	P t s
160239	Ham
160239	Luncheon meat
160239	Mackerel
160416	Lobster
170220	Glucose
170220	Molasses
170220	Sucrose
170410	Candy
170410	Chewing gum
170410	Liquorice candy
180400	Cocoa paste
180500	Cocoa powder
190110	Infant formula
190110	Isomil formula
190110	Similac
190211	Cannelloni
190211	Couscous
190211	Gnocchi
190211	Noodles
190220	Cannelloni
190220	Couscous
190220	Gnocchi
190220	Macaroni
190531	Bread
190531	Cakes
190531	Pretzels
190531	Rusks
190531	Sweet biscuits
190531	Taco
190531	Toasted bread
190531	Waffles
200110	Gherkin
200110	Potato
200190	Cardoons
200190	Chinese parsley
200190	Jicama
200190	Okra
200190	Tarragons
200190	Topedos
200310	Cauliflowers
200490	Brussel sprout
200490	Carrot
200520	Potato chips
200599	Vegetables
200710	Fruit paste
200710	Fruit pur e
200710	Marmalade
200819	Cashew butter
200819	Peanut butter
200819	Peanut butter
200819	Walnut butter
200870	Fruit
210111	Coffee concentrates
210111	Coffee essence
210230	Yeast
210310	Chili sauce
210310	Condiment
210310	Mayonnaise
210310	Pizza sauce
210310	Pizza sauce
210310	Sauce
210310	Seasoning
210310	Tomato sauces
210610	Protein concentrates
210610	Protein powder
210690	Flavoring
210690	Groceries
220110	Aerated water
220210	Artificial water
220210	Chocolate milk
220210	Juice
220210	Soft drinks
220290	Non alcoholic beer
220290	Non alcoholic wine
220410	Champagne
220410	Sparkling wine
220429	Wine
220510	Vermouth
220600	Sake
230800	Fish food
230990	Dog chews
230990	Dog treat
240210	Cheroots
240210	Cigarillos
240210	Cigars
240319	Shisha tobacco
240319	Water pipe tobacco
240391	Homogenized tobacco
240391	Reconstituted tobacco
240399	Chewing tobacco
240399	Chewing tobacco
250100	Aluminous cement
250100	Andalusite
250100	Animal litter
250100	Asbestos
250100	Bentonite
250100	Broken stone
250100	Cat litter
250100	Chamotte earth
250100	Chamotte earth
250100	Crocidolite
250100	Deadburned magnesia
250100	Diatomaceous earth
250100	Epsomite
250100	Fused magnesia
250100	Gypsum
250100	Hydraulic cements
250100	Kieselguhr
250100	kyanite
250100	Macadam of slag
250100	Natural abrasives
250100	Natural corundum
250100	Natural graphite
250100	Natural steatite
250100	Nepheline
250100	Pebbles
250100	Pumice stone
140190	Broomcorn
140190	Lime bark
140190	Osier
140190	Rushes
140190	Tampico fibre
140190	Vegetable hair
150190	Fish liver oils
150190	Food oil
150190	Lard
150190	Pig fat
150190	Pig fat
150190	Poultry fat
150190	Vegetable wax
150300	Lard oil
150300	Tallow oil
150890	Cotton seed oil
150890	Cotton seed oil
150890	Crude oil
150890	Ground nut oil
150890	Ground nut oil
150890	Maize oil
150890	Maize oil
150890	Nut oil
150890	Safflower oil
150890	Sunflower seed oil
151610	Vegetable fat
151610	Vegetable oil
151710	Margarine OAC
160100	Preserved meat
160239	Geese
160300	Salmon
160416	Shrimp
170220	Lactose
170220	Maple syrup
170220	Sugar
170410	Almond paste
170410	Almond paste
170410	Bubble gum
170410	Candies
170410	Chewing gum
180400	Cocoa butter
180400	Cocoa fat
180400	Cocoa fat
180400	Cocoa oil
180500	Hot chocolate
190110	Baby formula
190110	Baby formula
190110	Isomil formula
190211	Lasagna
190211	Macaroni
190220	Lasagna
190410	Bulgur wheat
190410	Bulgur wheat
190410	Cereal
190531	Baked goods
190531	Baked goods
190531	Corn chips
190531	Crisp bread
190531	Crisp bread
190531	Pudding
190531	Sweet biscuits
